published_at,body,summary,title,url
1631359793.0,υπεροχες σωστες ερωτηση απο nataly_argyraki κυριας ανασολγου μονο συγχαρητηριας επιλογης 2η συνεχομενη σεζον kalytera_alpha kalytera γυναικοκτονιας metoo,,,https://twitter.com/
1631359772.0,oυτε ζουμπουλιας μιλουσε τοσος οπισθοδρομικα αντε πετουσε κανενας ειναι μαρη μιτος εληγε εκω ηταν ξεπερασε χωρις αγγιξω metoo xamogelakaipali kalytera,,,https://twitter.com/
1631359712.0,ετσι έλεγες κόρη σος έδειχνε αδυναμία φιλιππίδη ηθοποιός γνωστό αδυναμία βιασμός αδυναμίος ντροπής σος xamogelakaipali metoo,,,https://twitter.com/
1631359680.0,υποστηρίξω γυναίκα πέφτω θύμα βιασμός γυναίκος μάνα ηθοποιός ελισάβετ κωνσταντινίδος ξεπλένω συνάδερφο χειρότερος δικαιολογία λέω ηθοποιός αδυναμία εκπομπή υποστήριξε κίνημας metoo,,,https://twitter.com/
1631359427.0,ειδα δηλώση ελισάβετ κωνσταντινίδος εχω σιχαθώ δυνατών ακούστηκε επιχείρημα εχετε κάνω πράγμα ντρέπομαι βιασμός παρενοχλησης έγκλημας metoo,,,https://twitter.com/
1631359157.0,πέντε κοιτώ πάρτη metoo metoogr,,,https://twitter.com/
1631358598.0,oλος εχω αδυναμιας αρκω αδυναμιας ειναι ποινικος αδικηματας δοξας καραδοξος nataliagermanou αλλης φορος απαντησης ελισαβετ κωνδος metoo kalytera φιλιππιδη xamogelakaipali,,,https://twitter.com/
1631358579.0,αδυναμία φας 2 πίτα γύρος κάνη δίαιτα αδυναμία ξοδέψη μισθός σος πράγμα χρειάζεσαι αδυναμία πράττη ποινικά αδικήματας kρίμος ελισάβετ κωνσταντινίδουkalytera metoo,,,https://twitter.com/
1631358402.0,kalytera xamogelakaipali metoo,,,https://twitter.com/
1631358382.0,κρεμασω κιολα φιλιππιδη εχω αδυναμιας ηθοποιος ελισαβετ κωνδος πω απλα σκασε metoo kalytera,,,https://twitter.com/
1631358315.0,αληθειας καταλαβαινω γιατι πρεπω δικαιολουνται αδικαιολογητος ειτος ομηρο ευστρατιαδης ειτος σημερα xamogelakaipali ελισαβετ κωνσταντινιδος υπαρχω δικαιολογιος τετοιες υποθεση metoo kalytera φιλιππιδης,,,https://twitter.com/
1631357587.0,βιασμός οποιοδήποτε είδος βία αδυναμία ξεπλένω βία ασέβεια θύματαεπιζώντας άτομο σεβαστώ επιτέλους metoo,,,https://twitter.com/
1631357583.0,αδυναμίες ξέρω ποια αντέχω μού σερβίρω κακοποιητικας συμπεριφορά essence νεραϊδόσκονης αδυνατω χωνέψω xamogelakaipali metoo metoogr,,,https://twitter.com/
1631357483.0,βγηκε λέω βιασμός μικρό πταίσμα λέω κάνω ντρπομαι μωρή φωκιας κάνω βιασμός  xamogelakaipali openweekend metoo,,,https://twitter.com/
1631356670.0,xamogelakaipali αδυναμία πηγαίνω ψυγείο 200 βράδυ καί τρώω βλακεία διατροφή δίαιτας βιασμός λέω ελισάβετ κωνσταντινίδος εκπομπή επικίνδυνος ξεπλένω βιαστής metoo,,,https://twitter.com/
1631356340.0,mega channel επίσημος πλυντήριο εμετικό επίσημος xamogelakaipali metoo,,,https://twitter.com/
1631356248.0,κυρία κωνσταντινίδος αδυναμία βιασμός σεξουαλικός παρενόχληση αδυναμία τρώω κουτί σοκολατάκι xamogelakaipali metoogr metoo,,,https://twitter.com/
1631355764.0,εκπομπή ξεχώρομαι περσινός σεζόν κίνημας metoo κάνω σημαία καλό ακούγομαι απόψη αέρας παίρνω θέση xamogelakaipali,,,https://twitter.com/
